,Finish,Start,Car #,Driver,Make,Pts,S1,S2,S3,Laps,Led,Status,Rating,Team,track,season
26,27,31,51.0,Justin Allgaier,Chevrolet,17,,,,159,0,running,58.2,HScott Motorsports,Indianapolis,2014
27,28,7,41.0,Kurt Busch,Chevrolet,16,,,,159,0,running,69.7,Stewart-Haas Racing,Indianapolis,2014
28,29,30,98.0,Josh Wise,Chevrolet,15,,,,159,0,running,44.2,Phil Parsons Racing,Indianapolis,2014
29,30,37,40.0,Landon Cassill,Chevrolet,0,,,,158,0,running,41.1,Circle Sport,Indianapolis,2014
30,31,33,7.0,Michael Annett,Chevrolet,14,,,,158,1,running,48.5,Tommy Baldwin Racing,Indianapolis,2014
31,32,39,26.0,Cole Whitt,Toyota,12,,,,158,0,running,35.5,BK Racing,Indianapolis,2014
32,33,26,13.0,Casey Mears,Chevrolet,11,,,,158,0,running,34.8,Germain Racing,Indianapolis,2014
33,34,29,27.0,Paul Menard,Chevrolet,10,,,,158,0,running,47.0,Richard Childress Racing,Indianapolis,2014
34,35,38,34.0,David Ragan,Ford,9,,,,158,0,running,36.6,Front Row Motorsports,Indianapolis,2014
35,36,34,38.0,David Gilliland,Ford,8,,,,157,0,running,40.9,Front Row Motorsports,Indianapolis,2014
36,37,43,37.0,Bobby Labonte,Chevrolet,7,,,,157,0,running,34.5,Tommy Baldwin Racing,Indianapolis,2014
37,38,42,36.0,Reed Sorenson,Chevrolet,6,,,,156,0,running,29.9,Tommy Baldwin Racing,Indianapolis,2014
38,39,40,32.0,Travis Kvapil,Ford,5,,,,156,0,running,26.9,GO FAS Racing,Indianapolis,2014
39,40,35,23.0,Alex Bowman,Toyota,4,,,,156,0,running,24.8,BK Racing,Indianapolis,2014
40,41,32,83.0,Ryan Truex,Toyota,3,,,,149,0,running,34.2,BK Racing,Indianapolis,2014
41,42,14,10.0,Danica Patrick,Chevrolet,2,,,,114,0,rear gear,67.0,Stewart-Haas Racing,Indianapolis,2014
42,43,20,21.0,Trevor Bayne,Ford,0,,,,96,0,accident,50.0,Wood Brothers Racing,Indianapolis,2014
0,1,9,88.0,Dale Earnhardt Jr.,Chevrolet,47,,,,160,14,running,127.5,Hendrick Motorsports,Pocono,2014
1,2,6,4.0,Kevin Harvick,Chevrolet,43,,,,160,5,running,114.5,Stewart-Haas Racing,Pocono,2014
2,3,2,22.0,Joey Logano,Ford,42,,,,160,30,running,123.0,Team Penske,Pocono,2014
3,4,14,15.0,Clint Bowyer,Toyota,40,,,,160,0,running,102.1,Michael Waltrip Racing,Pocono,2014
4,5,25,16.0,Greg Biffle,Ford,40,,,,160,11,running,83.6,Roush Fenway Racing,Pocono,2014
5,6,5,24.0,Jeff Gordon,Chevrolet,40,,,,160,63,running,134.0,Hendrick Motorsports,Pocono,2014
6,7,8,1.0,Jamie McMurray,Chevrolet,37,,,,160,0,running,103.7,Chip Ganassi Racing,Pocono,2014
7,8,21,31.0,Ryan Newman,Chevrolet,36,,,,160,0,running,87.0,Richard Childress Racing,Pocono,2014
8,9,13,11.0,Denny Hamlin,Toyota,35,,,,160,0,running,96.7,Joe Gibbs Racing,Pocono,2014
9,10,12,5.0,Kasey Kahne,Chevrolet,34,,,,160,0,running,103.0,Hendrick Motorsports,Pocono,2014
10,11,1,42.0,Kyle Larson,Chevrolet,33,,,,160,0,running,95.4,Chip Ganassi Racing,Pocono,2014
11,12,24,13.0,Casey Mears,Chevrolet,32,,,,160,0,running,74.4,Germain Racing,Pocono,2014
12,13,4,41.0,Kurt Busch,Chevrolet,32,,,,160,30,running,113.9,Stewart-Haas Racing,Pocono,2014
13,14,27,9.0,Marcos Ambrose,Ford,30,,,,160,0,running,68.7,Richard Petty Motorsports,Pocono,2014
14,15,11,3.0,Austin Dillon,Chevrolet,29,,,,160,0,running,84.5,Richard Childress Racing,Pocono,2014
15,16,22,51.0,Justin Allgaier,Chevrolet,28,,,,160,0,running,76.5,HScott Motorsports,Pocono,2014
16,17,30,38.0,David Gilliland,Ford,28,,,,160,1,running,64.1,Front Row Motorsports,Pocono,2014
17,18,23,17.0,Ricky Stenhouse Jr.,Ford,26,,,,159,0,running,59.5,Roush Fenway Racing,Pocono,2014
18,19,39,34.0,David Ragan,Ford,25,,,,159,0,running,55.9,Front Row Motorsports,Pocono,2014
19,20,37,83.0,Ryan Truex,Toyota,24,,,,159,0,running,38.9,BK Racing,Pocono,2014
20,21,33,26.0,Cole Whitt,Toyota,23,,,,159,0,running,47.8,BK Racing,Pocono,2014
21,22,38,7.0,Michael Annett,Chevrolet,22,,,,159,0,running,56.0,Tommy Baldwin Racing,Pocono,2014
22,23,3,2.0,Brad Keselowski,Ford,21,,,,159,0,running,72.0,Team Penske,Pocono,2014
23,24,31,98.0,Josh Wise,Chevrolet,20,,,,159,0,running,43.7,Phil Parsons Racing,Pocono,2014
24,25,34,32.0,Travis Kvapil,Ford,19,,,,158,0,running,45.6,GO FAS Racing,Pocono,2014
25,26,40,37.0,Dave Blaney,Chevrolet,18,,,,158,0,running,38.5,Tommy Baldwin Racing,Pocono,2014
26,27,35,36.0,Reed Sorenson,Chevrolet,17,,,,158,0,running,40.6,Tommy Baldwin Racing,Pocono,2014
27,28,42,33.0,Alex Kennedy,Chevrolet,16,,,,158,0,running,34.5,Circle Sport,Pocono,2014
28,29,26,99.0,Carl Edwards,Ford,15,,,,157,0,running,59.6,Roush Fenway Racing,Pocono,2014
29,30,10,10.0,Danica Patrick,Chevrolet,14,,,,156,0,running,41.4,Stewart-Haas Racing,Pocono,2014
30,31,36,23.0,Alex Bowman,Toyota,13,,,,154,0,running,45.4,BK Racing,Pocono,2014
31,32,19,78.0,Martin Truex Jr.,Chevrolet,12,,,,144,0,running,62.3,Furniture Row Racing,Pocono,2014
32,33,29,27.0,Paul Menard,Chevrolet,11,,,,143,0,running,60.8,Richard Childress Racing,Pocono,2014
33,34,20,47.0,A.J. Allmendinger,Chevrolet,11,,,,137,2,accident,60.4,JTG Daugherty Racing,Pocono,2014
34,35,28,43.0,Aric Almirola,Ford,10,,,,125,1,accident,58.9,Richard Petty Motorsports,Pocono,2014
35,36,16,14.0,Tony Stewart,Chevrolet,8,,,,124,0,running,73.6,Stewart-Haas Racing,Pocono,2014
36,37,15,55.0,Brian Vickers,Toyota,7,,,,116,0,accident,73.6,Michael Waltrip Racing,Pocono,2014
37,38,18,20.0,Matt Kenseth,Toyota,7,,,,116,3,accident,69.8,Joe Gibbs Racing,Pocono,2014
38,39,17,48.0,Jimmie Johnson,Chevrolet,5,,,,111,0,accident,72.5,Hendrick Motorsports,Pocono,2014
39,40,41,66.0,Joe Nemechek,Toyota,0,,,,88,0,accident,26.9,Michael Waltrip Racing,Pocono,2014
40,41,32,40.0,Landon Cassill,Chevrolet,0,,,,28,0,accident,31.7,Circle Sport,Pocono,2014
41,42,7,18.0,Kyle Busch,Toyota,2,,,,23,0,engine,43.0,Joe Gibbs Racing,Pocono,2014
42,43,43,93.0,Johnny Sauter,Toyota,0,,,,11,0,electrical,27.8,BK Racing,Pocono,2014
0,1,6,47.0,A.J. Allmendinger,Chevrolet,48,,,,90,30,running,129.9,JTG Daugherty Racing,WatkinsGlen,2014
1,2,2,9.0,Marcos Ambrose,Ford,43,,,,90,19,running,130.9,Richard Petty Motorsports,WatkinsGlen,2014
2,3,5,41.0,Kurt Busch,Chevrolet,41,,,,90,0,running,117.2,Stewart-Haas Racing,WatkinsGlen,2014
3,4,23,42.0,Kyle Larson,Chevrolet,40,,,,90,0,running,80.0,Chip Ganassi Racing,WatkinsGlen,2014
4,5,16,99.0,Carl Edwards,Ford,40,,,,90,3,running,98.9,Roush Fenway Racing,WatkinsGlen,2014
5,6,11,22.0,Joey Logano,Ford,38,,,,90,0,running,89.1,Team Penske,WatkinsGlen,2014
6,7,4,4.0,Kevin Harvick,Chevrolet,37,,,,90,0,running,94.5,Stewart-Haas Racing,WatkinsGlen,2014
7,8,28,16.0,Greg Biffle,Ford,36,,,,90,0,running,89.5,Roush Fenway Racing,WatkinsGlen,2014
8,9,8,20.0,Matt Kenseth,Toyota,35,,,,90,0,running,102.5,Joe Gibbs Racing,WatkinsGlen,2014
9,10,12,55.0,Brian Vickers,Toyota,34,,,,90,0,running,91.7,Michael Waltrip Racing,WatkinsGlen,2014
10,11,7,88.0,Dale Earnhardt Jr.,Chevrolet,33,,,,90,0,running,101.3,Hendrick Motorsports,WatkinsGlen,2014
11,12,30,5.0,Kasey Kahne,Chevrolet,33,,,,90,3,running,84.4,Hendrick Motorsports,WatkinsGlen,2014
12,13,25,78.0,Martin Truex Jr.,Chevrolet,31,,,,90,0,running,74.7,Furniture Row Racing,WatkinsGlen,2014
13,14,14,1.0,Jamie McMurray,Chevrolet,30,,,,90,0,running,92.6,Chip Ganassi Racing,WatkinsGlen,2014
14,15,22,13.0,Casey Mears,Chevrolet,29,,,,90,0,running,76.0,Germain Racing,WatkinsGlen,2014
15,16,31,3.0,Austin Dillon,Chevrolet,28,,,,90,0,running,66.4,Richard Childress Racing,WatkinsGlen,2014
16,17,15,51.0,Justin Allgaier,Chevrolet,27,,,,90,0,running,60.9,HScott Motorsports,WatkinsGlen,2014
17,18,27,43.0,Aric Almirola,Ford,26,,,,90,0,running,70.2,Richard Petty Motorsports,WatkinsGlen,2014
18,19,26,34.0,David Ragan,Ford,25,,,,90,0,running,58.7,Front Row Motorsports,WatkinsGlen,2014
19,20,21,17.0,Ricky Stenhouse Jr.,Ford,24,,,,90,0,running,55.4,Roush Fenway Racing,WatkinsGlen,2014
20,21,43,10.0,Danica Patrick,Chevrolet,23,,,,90,0,running,51.7,Stewart-Haas Racing,WatkinsGlen,2014
21,22,33,38.0,David Gilliland,Ford,22,,,,90,0,running,58.3,Front Row Motorsports,WatkinsGlen,2014
22,23,39,36.0,Reed Sorenson,Chevrolet,21,,,,90,0,running,45.4,Tommy Baldwin Racing,WatkinsGlen,2014
23,24,17,11.0,Denny Hamlin,Toyota,20,,,,90,0,running,74.9,Joe Gibbs Racing,WatkinsGlen,2014
24,25,34,32.0,Boris Said,Ford,19,,,,90,0,running,42.0,GO FAS Racing,WatkinsGlen,2014
25,26,32,77.0,Nelson Piquet Jr.,Ford,18,,,,90,0,running,47.0,Randy Humphrey Motorsports,WatkinsGlen,2014
26,27,24,15.0,Clint Bowyer,Toyota,17,,,,90,0,running,71.5,Michael Waltrip Racing,WatkinsGlen,2014
27,28,3,48.0,Jimmie Johnson,Chevrolet,17,,,,90,6,running,95.5,Hendrick Motorsports,WatkinsGlen,2014
28,29,41,40.0,Landon Cassill,Chevrolet,0,,,,89,0,running,35.4,Circle Sport,WatkinsGlen,2014
29,30,40,66.0,Joe Nemechek,Toyota,0,,,,89,0,running,32.3,Michael Waltrip Racing,WatkinsGlen,2014
30,31,42,7.0,Michael Annett,Chevrolet,13,,,,88,0,running,38.1,Tommy Baldwin Racing,WatkinsGlen,2014
31,32,20,27.0,Paul Menard,Chevrolet,12,,,,87,0,running,37.7,Richard Childress Racing,WatkinsGlen,2014
32,33,38,33.0,Alex Kennedy,Chevrolet,11,,,,86,0,accident,41.0,Circle Sport,WatkinsGlen,2014
33,34,1,24.0,Jeff Gordon,Chevrolet,11,,,,86,29,running,114.8,Hendrick Motorsports,WatkinsGlen,2014
34,35,9,2.0,Brad Keselowski,Ford,9,,,,85,0,running,76.6,Team Penske,WatkinsGlen,2014
35,36,36,23.0,Alex Bowman,Toyota,8,,,,85,0,running,30.4,BK Racing,WatkinsGlen,2014
36,37,13,14.0,Regan Smith,Chevrolet,0,,,,81,0,accident,51.6,Stewart-Haas Racing,WatkinsGlen,2014
37,38,37,98.0,Josh Wise,Chevrolet,6,,,,78,0,running,28.9,Phil Parsons Racing,WatkinsGlen,2014
38,39,35,83.0,Ryan Truex,Toyota,5,,,,69,0,suspension,44.2,BK Racing,WatkinsGlen,2014
39,40,19,18.0,Kyle Busch,Toyota,4,,,,69,0,running,65.0,Joe Gibbs Racing,WatkinsGlen,2014
40,41,10,31.0,Ryan Newman,Chevrolet,3,,,,55,0,accident,69.0,Richard Childress Racing,WatkinsGlen,2014
41,42,29,95.0,Michael McDowell,Ford,2,,,,55,0,accident,55.7,Leavine Family Racing,WatkinsGlen,2014
42,43,18,26.0,Cole Whitt,Toyota,1,,,,9,0,accident,34.3,BK Racing,WatkinsGlen,2014
0,1,1,24.0,Jeff Gordon,Chevrolet,47,,,,200,68,running,139.5,Hendrick Motorsports,Michigan,2014
1,2,6,4.0,Kevin Harvick,Chevrolet,42,,,,200,0,running,119.6,Stewart-Haas Racing,Michigan,2014
2,3,2,22.0,Joey Logano,Ford,43,,,,200,86,running,135.9,Team Penske,Michigan,2014
3,4,7,27.0,Paul Menard,Chevrolet,40,,,,200,0,running,105.9,Richard Childress Racing,Michigan,2014
4,5,25,88.0,Dale Earnhardt Jr.,Chevrolet,40,,,,200,4,running,106.9,Hendrick Motorsports,Michigan,2014
5,6,19,15.0,Clint Bowyer,Toyota,38,,,,200,0,running,88.3,Michael Waltrip Racing,Michigan,2014
6,7,21,11.0,Denny Hamlin,Toyota,37,,,,200,0,running,92.4,Joe Gibbs Racing,Michigan,2014
7,8,5,2.0,Brad Keselowski,Ford,37,,,,200,2,running,108.5,Team Penske,Michigan,2014
8,9,30,48.0,Jimmie Johnson,Chevrolet,36,,,,200,21,running,93.8,Hendrick Motorsports,Michigan,2014
9,10,11,16.0,Greg Biffle,Ford,34,,,,200,0,running,94.4,Roush Fenway Racing,Michigan,2014
10,11,12,31.0,Ryan Newman,Chevrolet,34,,,,200,14,running,97.5,Richard Childress Racing,Michigan,2014
11,12,20,9.0,Marcos Ambrose,Ford,32,,,,200,0,running,79.2,Richard Petty Motorsports,Michigan,2014
12,13,22,47.0,A.J. Allmendinger,Chevrolet,31,,,,200,0,running,86.5,JTG Daugherty Racing,Michigan,2014
13,14,9,1.0,Jamie McMurray,Chevrolet,30,,,,200,0,running,100.6,Chip Ganassi Racing,Michigan,2014
14,15,10,17.0,Ricky Stenhouse Jr.,Ford,29,,,,200,0,running,80.7,Roush Fenway Racing,Michigan,2014
15,16,15,5.0,Kasey Kahne,Chevrolet,29,,,,200,2,running,85.6,Hendrick Motorsports,Michigan,2014
16,17,26,13.0,Casey Mears,Chevrolet,27,,,,200,0,running,63.0,Germain Racing,Michigan,2014
17,18,14,10.0,Danica Patrick,Chevrolet,26,,,,200,0,running,68.6,Stewart-Haas Racing,Michigan,2014
18,19,4,55.0,Brian Vickers,Toyota,25,,,,199,0,running,83.5,Michael Waltrip Racing,Michigan,2014
19,20,23,43.0,Aric Almirola,Ford,24,,,,199,0,running,66.5,Richard Petty Motorsports,Michigan,2014
20,21,29,38.0,David Gilliland,Ford,23,,,,199,0,running,61.6,Front Row Motorsports,Michigan,2014
21,22,8,3.0,Austin Dillon,Chevrolet,22,,,,199,0,running,72.1,Richard Childress Racing,Michigan,2014
22,23,3,99.0,Carl Edwards,Ford,21,,,,198,0,running,68.4,Roush Fenway Racing,Michigan,2014
23,24,34,34.0,David Ragan,Ford,20,,,,198,0,running,56.0,Front Row Motorsports,Michigan,2014
24,25,36,26.0,Cole Whitt,Toyota,19,,,,198,0,running,55.9,BK Racing,Michigan,2014
25,26,32,23.0,Alex Bowman,Toyota,18,,,,198,0,running,53.2,BK Racing,Michigan,2014
26,27,40,36.0,Reed Sorenson,Chevrolet,17,,,,197,0,running,48.2,Tommy Baldwin Racing,Michigan,2014
27,28,33,98.0,Josh Wise,Chevrolet,16,,,,197,0,running,46.7,Phil Parsons Racing,Michigan,2014
28,29,43,40.0,Landon Cassill,Chevrolet,0,,,,197,0,running,44.9,Circle Sport,Michigan,2014
29,30,31,83.0,J.J. Yeley,Toyota,0,,,,197,0,running,32.8,BK Racing,Michigan,2014
30,31,16,41.0,Kurt Busch,Chevrolet,14,,,,196,3,running,88.4,Stewart-Haas Racing,Michigan,2014
31,32,38,32.0,Travis Kvapil,Ford,12,,,,196,0,running,43.5,GO FAS Racing,Michigan,2014
32,33,37,37.0,Dave Blaney,Chevrolet,11,,,,195,0,running,36.5,Tommy Baldwin Racing,Michigan,2014
33,34,41,33.0,Alex Kennedy,Chevrolet,10,,,,195,0,running,34.4,Circle Sport,Michigan,2014
34,35,42,66.0,Joe Nemechek,Toyota,0,,,,195,0,running,30.4,Michael Waltrip Racing,Michigan,2014
35,36,39,78.0,Martin Truex Jr.,Chevrolet,8,,,,177,0,accident,37.5,Furniture Row Racing,Michigan,2014
36,37,27,14.0,Jeff Burton,Chevrolet,7,,,,176,0,running,61.5,Stewart-Haas Racing,Michigan,2014
37,38,18,20.0,Matt Kenseth,Toyota,6,,,,170,0,running,40.3,Joe Gibbs Racing,Michigan,2014
38,39,24,18.0,Kyle Busch,Toyota,5,,,,159,0,running,35.7,Joe Gibbs Racing,Michigan,2014
39,40,35,7.0,Michael Annett,Chevrolet,4,,,,155,0,vibration,33.1,Tommy Baldwin Racing,Michigan,2014
40,41,28,21.0,Trevor Bayne,Ford,0,,,,153,0,running,28.1,Wood Brothers Racing,Michigan,2014
41,42,17,51.0,Justin Allgaier,Chevrolet,2,,,,97,0,accident,39.4,HScott Motorsports,Michigan,2014
42,43,13,42.0,Kyle Larson,Chevrolet,1,,,,94,0,accident,53.6,Chip Ganassi Racing,Michigan,2014
0,1,5,22.0,Joey Logano,Ford,47,,,,500,76,running,133.8,Team Penske,Bristol,2014
1,2,9,2.0,Brad Keselowski,Ford,43,,,,500,46,running,122.8,Team Penske,Bristol,2014
2,3,16,20.0,Matt Kenseth,Toyota,42,,,,500,62,running,115.1,Joe Gibbs Racing,Bristol,2014
3,4,6,48.0,Jimmie Johnson,Chevrolet,40,,,,500,0,running,106.8,Hendrick Motorsports,Bristol,2014
4,5,7,41.0,Kurt Busch,Chevrolet,39,,,,500,0,running,107.1,Stewart-Haas Racing,Bristol,2014
5,6,21,17.0,Ricky Stenhouse Jr.,Ford,38,,,,500,0,running,80.1,Roush Fenway Racing,Bristol,2014
6,7,3,99.0,Carl Edwards,Ford,37,,,,500,0,running,100.4,Roush Fenway Racing,Bristol,2014
7,8,18,1.0,Jamie McMurray,Chevrolet,38,,,,500,148,running,116.8,Chip Ganassi Racing,Bristol,2014
8,9,17,27.0,Paul Menard,Chevrolet,35,,,,500,0,running,85.3,Richard Childress Racing,Bristol,2014
9,10,8,16.0,Greg Biffle,Ford,34,,,,500,0,running,89.4,Roush Fenway Racing,Bristol,2014
10,11,1,4.0,Kevin Harvick,Chevrolet,34,,,,500,75,running,116.3,Stewart-Haas Racing,Bristol,2014
11,12,40,42.0,Kyle Larson,Chevrolet,32,,,,500,0,running,78.6,Chip Ganassi Racing,Bristol,2014
12,13,11,31.0,Ryan Newman,Chevrolet,31,,,,500,0,running,92.0,Richard Childress Racing,Bristol,2014
13,14,22,47.0,A.J. Allmendinger,Chevrolet,30,,,,500,0,running,82.1,JTG Daugherty Racing,Bristol,2014
14,15,25,14.0,Jeff Burton,Chevrolet,29,,,,499,0,running,80.0,Stewart-Haas Racing,Bristol,2014
15,16,2,24.0,Jeff Gordon,Chevrolet,29,,,,499,17,running,87.9,Hendrick Motorsports,Bristol,2014
16,17,14,15.0,Clint Bowyer,Toyota,27,,,,498,0,running,66.7,Michael Waltrip Racing,Bristol,2014
17,18,28,95.0,Michael McDowell,Ford,26,,,,498,0,running,63.7,Leavine Family Racing,Bristol,2014
18,19,19,51.0,Justin Allgaier,Chevrolet,25,,,,497,0,running,71.9,HScott Motorsports,Bristol,2014
19,20,23,78.0,Martin Truex Jr.,Chevrolet,24,,,,497,0,running,68.4,Furniture Row Racing,Bristol,2014
20,21,15,55.0,Brian Vickers,Toyota,23,,,,497,0,running,71.0,Michael Waltrip Racing,Bristol,2014
21,22,39,40.0,Landon Cassill,Chevrolet,0,,,,497,0,running,57.9,Circle Sport,Bristol,2014
22,23,29,34.0,David Ragan,Ford,21,,,,496,0,running,52.9,Front Row Motorsports,Bristol,2014
23,24,36,36.0,Reed Sorenson,Chevrolet,20,,,,496,0,running,52.2,Tommy Baldwin Racing,Bristol,2014
24,25,32,38.0,David Gilliland,Ford,19,,,,495,0,running,49.0,Front Row Motorsports,Bristol,2014
25,26,43,13.0,Casey Mears,Chevrolet,18,,,,495,0,running,44.6,Germain Racing,Bristol,2014
26,27,24,10.0,Danica Patrick,Chevrolet,17,,,,493,0,running,45.2,Stewart-Haas Racing,Bristol,2014
27,28,26,3.0,Austin Dillon,Chevrolet,16,,,,493,0,running,35.6,Richard Childress Racing,Bristol,2014
28,29,30,98.0,Josh Wise,Chevrolet,15,,,,492,0,running,42.8,Phil Parsons Racing,Bristol,2014
29,30,34,26.0,Cole Whitt,Toyota,14,,,,492,0,running,38.1,BK Racing,Bristol,2014
30,31,41,33.0,David Stremme,Chevrolet,13,,,,491,0,running,33.5,Circle Sport,Bristol,2014
31,32,27,23.0,Alex Bowman,Toyota,12,,,,489,0,running,53.9,BK Racing,Bristol,2014
32,33,37,32.0,J.J. Yeley,Ford,0,,,,489,0,running,37.4,GO FAS Racing,Bristol,2014
33,34,10,9.0,Marcos Ambrose,Ford,10,,,,480,0,running,53.8,Richard Petty Motorsports,Bristol,2014
34,35,12,5.0,Kasey Kahne,Chevrolet,10,,,,477,40,running,79.6,Hendrick Motorsports,Bristol,2014
35,36,4,18.0,Kyle Busch,Toyota,9,,,,442,8,accident,68.4,Joe Gibbs Racing,Bristol,2014
36,37,33,83.0,Ryan Truex,Toyota,7,,,,338,0,engine,38.0,BK Racing,Bristol,2014
37,38,38,7.0,Michael Annett,Chevrolet,6,,,,243,0,accident,29.9,Tommy Baldwin Racing,Bristol,2014
38,39,20,88.0,Dale Earnhardt Jr.,Chevrolet,5,,,,176,0,accident,68.6,Hendrick Motorsports,Bristol,2014
39,40,13,11.0,Denny Hamlin,Toyota,5,,,,160,28,accident,79.5,Joe Gibbs Racing,Bristol,2014
40,41,42,43.0,Aric Almirola,Ford,3,,,,123,0,accident,43.7,Richard Petty Motorsports,Bristol,2014
41,42,31,66.0,Brett Moffitt,Toyota,2,,,,78,0,engine,30.8,Michael Waltrip Racing,Bristol,2014
42,43,35,37.0,Dave Blaney,Chevrolet,1,,,,37,0,overheating,24.8,Tommy Baldwin Racing,Bristol,2014
0,1,10,5.0,Kasey Kahne,Chevrolet,47,,,,335,25,running,105.2,Hendrick Motorsports,Atlanta,2014
1,2,5,20.0,Matt Kenseth,Toyota,43,,,,335,53,running,118.6,Joe Gibbs Racing,Atlanta,2014
2,3,17,11.0,Denny Hamlin,Toyota,42,,,,335,37,running,114.9,Joe Gibbs Racing,Atlanta,2014
3,4,16,48.0,Jimmie Johnson,Chevrolet,40,,,,335,0,running,105.7,Hendrick Motorsports,Atlanta,2014
4,5,11,99.0,Carl Edwards,Ford,39,,,,335,0,running,101.3,Roush Fenway Racing,Atlanta,2014
5,6,27,10.0,Danica Patrick,Chevrolet,38,,,,335,0,running,81.3,Stewart-Haas Racing,Atlanta,2014
6,7,4,31.0,Ryan Newman,Chevrolet,37,,,,335,0,running,94.2,Richard Childress Racing,Atlanta,2014
7,8,3,42.0,Kyle Larson,Chevrolet,36,,,,335,0,running,91.1,Chip Ganassi Racing,Atlanta,2014
8,9,7,43.0,Aric Almirola,Ford,35,,,,335,0,running,83.8,Richard Petty Motorsports,Atlanta,2014
9,10,18,16.0,Greg Biffle,Ford,34,,,,335,0,running,83.7,Roush Fenway Racing,Atlanta,2014
10,11,20,88.0,Dale Earnhardt Jr.,Chevrolet,33,,,,335,0,running,83.8,Hendrick Motorsports,Atlanta,2014
11,12,15,1.0,Jamie McMurray,Chevrolet,32,,,,335,0,running,76.2,Chip Ganassi Racing,Atlanta,2014
12,13,22,41.0,Kurt Busch,Chevrolet,32,,,,335,22,running,91.9,Stewart-Haas Racing,Atlanta,2014
13,14,14,22.0,Joey Logano,Ford,30,,,,335,0,running,105.2,Team Penske,Atlanta,2014
14,15,19,55.0,Brian Vickers,Toyota,29,,,,335,0,running,92.3,Michael Waltrip Racing,Atlanta,2014
15,16,8,18.0,Kyle Busch,Toyota,28,,,,335,0,running,68.7,Joe Gibbs Racing,Atlanta,2014
16,17,9,24.0,Jeff Gordon,Chevrolet,27,,,,335,0,running,111.4,Hendrick Motorsports,Atlanta,2014
17,18,33,27.0,Paul Menard,Chevrolet,26,,,,335,0,running,79.6,Richard Childress Racing,Atlanta,2014
18,19,1,4.0,Kevin Harvick,Chevrolet,27,,,,335,195,running,132.4,Stewart-Haas Racing,Atlanta,2014
19,20,26,17.0,Ricky Stenhouse Jr.,Ford,24,,,,334,0,running,62.9,Roush Fenway Racing,Atlanta,2014
20,21,25,7.0,Michael Annett,Chevrolet,23,,,,334,0,running,59.2,Tommy Baldwin Racing,Atlanta,2014
21,22,24,13.0,Casey Mears,Chevrolet,22,,,,334,0,running,51.0,Germain Racing,Atlanta,2014
22,23,6,78.0,Martin Truex Jr.,Chevrolet,21,,,,334,0,running,71.2,Furniture Row Racing,Atlanta,2014
23,24,13,3.0,Austin Dillon,Chevrolet,20,,,,334,0,running,62.9,Richard Childress Racing,Atlanta,2014
24,25,29,33.0,Ty Dillon,Chevrolet,0,,,,332,0,running,55.6,Circle Sport,Atlanta,2014
25,26,31,51.0,Justin Allgaier,Chevrolet,18,,,,332,0,running,53.4,HScott Motorsports,Atlanta,2014
26,27,38,34.0,David Ragan,Ford,17,,,,331,0,running,49.6,Front Row Motorsports,Atlanta,2014
27,28,37,38.0,David Gilliland,Ford,16,,,,330,0,running,48.5,Front Row Motorsports,Atlanta,2014
28,29,43,36.0,Reed Sorenson,Chevrolet,15,,,,330,0,running,41.0,Tommy Baldwin Racing,Atlanta,2014
29,30,40,26.0,Cole Whitt,Toyota,14,,,,329,0,running,41.7,BK Racing,Atlanta,2014
30,31,42,40.0,Landon Cassill,Chevrolet,0,,,,329,0,running,36.2,Circle Sport,Atlanta,2014
31,32,41,32.0,J.J. Yeley,Ford,0,,,,328,0,running,32.9,GO FAS Racing,Atlanta,2014
32,33,36,98.0,Josh Wise,Chevrolet,11,,,,328,0,running,37.6,Phil Parsons Racing,Atlanta,2014
33,34,35,66.0,Brett Moffitt,Toyota,10,,,,327,0,running,33.7,Michael Waltrip Racing,Atlanta,2014
34,35,30,23.0,Alex Bowman,Toyota,9,,,,326,0,running,38.6,BK Racing,Atlanta,2014
35,36,39,83.0,Ryan Truex,Toyota,8,,,,326,0,running,32.5,BK Racing,Atlanta,2014
36,37,34,77.0,Joe Nemechek,Ford,0,,,,324,0,running,27.3,Randy Humphrey Motorsports,Atlanta,2014
37,38,21,15.0,Clint Bowyer,Toyota,6,,,,314,0,running,60.2,Michael Waltrip Racing,Atlanta,2014
38,39,2,2.0,Brad Keselowski,Ford,6,,,,296,3,accident,91.4,Team Penske,Atlanta,2014
39,40,23,47.0,A.J. Allmendinger,Chevrolet,4,,,,258,0,vibration,51.4,JTG Daugherty Racing,Atlanta,2014
40,41,12,14.0,Tony Stewart,Chevrolet,3,,,,170,0,accident,68.0,Stewart-Haas Racing,Atlanta,2014
41,42,32,9.0,Marcos Ambrose,Ford,2,,,,122,0,engine,46.9,Richard Petty Motorsports,Atlanta,2014
42,43,28,37.0,Mike Bliss,Chevrolet,0,,,,23,0,vibration,27.6,Tommy Baldwin Racing,Atlanta,2014
0,1,1,2.0,Brad Keselowski,Ford,48,,,,400,383,running,149.8,Team Penske,Richmond,2014
1,2,2,24.0,Jeff Gordon,Chevrolet,42,,,,400,0,running,123.3,Hendrick Motorsports,Richmond,2014
2,3,6,15.0,Clint Bowyer,Toyota,41,,,,400,0,running,115.5,Michael Waltrip Racing,Richmond,2014
3,4,15,1.0,Jamie McMurray,Chevrolet,40,,,,400,0,running,111.6,Chip Ganassi Racing,Richmond,2014
